X coordinate,Y coordinate,stepratio,photoncount,label
248,210,0.01779,78.467175,0
,,0.485044,427.850273,0
,,1.594055,4772.488672,1
,,1.362923,7132.434662,1
230,200,0.760199,44.970748,0
,,0.133935,257.824584,0
,,1.461736,1542.170613,1
,,1.345531,10333.52264,1
218,218,0.489012,167.202878,0
,,1.764338,940.679525,1
,,1.172035,859.214364,1
,,1.624602,1907.573386,1
228,212,0.229844,1063.565775,0
,,1.456819,2310.335482,1
,,1.525135,11786.68211,1
228,254,1.275577,147.220391,1
,,1.564379,1366.006498,1
,,1.650828,5028.38494,1
208,232,1.316172,333.175867,1
,,2.031874,1142.594289,1
,,1.089859,1325.643931,1
216,206,0.434985,149.76554,0
,,1.511393,2364.937977,1
,,1.521395,7976.748549,1
178,220,0.498353,245.931401,0
,,0.473244,2413.031186,0
,,1.561349,17512.15665,1
214,176,0.488983,95.099661,0
,,1.204327,335.646482,1
,,0.799637,866.465755,0
,,2.604601,62.41219,1
198,186,0.879757,1783.291837,0
,,1.491297,2367.141784,1
,,1.610851,3883.279972,1
213,142,0.884262,109.538555,0
,,1.603633,7525.551476,1
,,1.024058,7221.533886,1
,,2.124564,6682.424879,1
206,180,1.004986,645.927231,1
,,1.449684,1830.699731,1
,,0.267919,1475.072601,0
208,166,0.397092,404.08996,0
,,1.70406,1654.670279,1
,,2.92643,12945.14861,1
240,143,0.341426,116.665048,0
,,0.402886,419.332547,0
,,1.479584,2410.772518,1
,,1.781384,2225.722402,1
248,140,1.340181,8245.209283,1
,,1.501496,12686.56736,1
182,174,0.352887,766.567854,1
,,1.607915,3716.014139,1
,,1.779029,325.33445,1
174,184,1.076463,78.812158,1
,,0.561323,626.5232,0
,,1.702511,13323.46104,1
,,1.890677,5500.553102,1
203,156,1.962605,404.183981,1
,,1.562583,2988.931138,1
,,0.811649,724.316076,0
128,227,0.454143,291.004254,0
,,1.8433,1535.544392,1
,,1.374708,4039.253893,1
,,1.274501,1209.281118,1
198,86,0.534982,247.589807,0
,,1.287192,560.668118,1
,,1.588227,3637.087982,1
,,1.784532,11311.44627,1
224,95,4.440232,146.158014,1
,,0.539668,521.152182,0
,,1.586376,1833.995739,1
162,209,0.248588,100.586209,0
